Date,Open,High,Low,Close,Volume,OpenInterest
2006-01-02,1789.36,1802.98,1789.36,1802.16,1647940,0.00
2006-01-03,1802.04,1819.21,1800.92,1807.17,5544260,0.00
2006-01-04,1807.62,1826.23,1807.62,1826.23,5175580,0.00
2006-01-05,1826.10,1830.82,1821.58,1825.12,4322520,0.00
2006-01-06,1825.27,1833.50,1823.83,1833.50,4161120,0.00
2006-01-09,1833.55,1843.00,1833.55,1835.89,4362070,0.00
2006-01-10,1835.62,1835.62,1819.38,1822.47,4847190,0.00
2006-01-11,1822.86,1837.16,1822.86,1834.30,4497830,0.00
2006-01-12,1833.58,1838.00,1828.50,1835.10,4443160,0.00
2006-01-13,1835.14,1835.14,1809.03,1814.62,5916910,0.00
2006-01-16,1814.36,1824.55,1810.52,1822.20,2732960,0.00
2006-01-17,1819.78,1819.78,1803.27,1805.04,5559590,0.00
2006-01-18,1804.67,1804.67,1775.08,1785.08,8661290,0.00
2006-01-19,1786.10,1798.67,1786.10,1796.61,6440530,0.00
2006-01-20,1796.58,1806.18,1775.40,1775.40,9629410,0.00
2006-01-23,1775.12,1775.12,1757.54,1772.16,6693690,0.00
2006-01-24,1772.39,1776.58,1763.18,1766.34,6094270,0.00
2006-01-25,1766.36,1789.00,1766.36,1789.00,7575360,0.00
2006-01-26,1789.46,1820.71,1788.99,1820.71,9829570,0.00
2006-01-27,1821.68,1842.74,1821.68,1842.74,7621160,0.00
2006-01-30,1842.19,1842.82,1832.22,1838.76,4240690,0.00
2006-01-31,1838.36,1853.82,1835.84,1845.70,7497400,0.00
2006-02-01,1843.08,1864.40,1837.44,1864.12,7338500,0.00
